Id,ActivityDate,Calories,TotalMinutesAsleep
1503960366,2016-04-12,1985,327
1503960366,2016-04-13,1797,384
1503960366,2016-04-15,1745,412
1503960366,2016-04-16,1863,340
1503960366,2016-04-17,1728,700
1503960366,2016-04-19,2035,304
1503960366,2016-04-20,1786,360
1503960366,2016-04-21,1775,325
1503960366,2016-04-23,1949,361
1503960366,2016-04-24,1788,430
1503960366,2016-04-25,2013,277
1503960366,2016-04-26,1970,245
1503960366,2016-04-28,1898,366
1503960366,2016-04-29,1837,341
1503960366,2016-04-30,1947,404
1503960366,2016-05-01,1820,369
1503960366,2016-05-02,2004,277
1503960366,2016-05-03,1990,273
1503960366,2016-05-05,1959,247
1503960366,2016-05-06,1896,334
1503960366,2016-05-07,1821,331
1503960366,2016-05-08,1740,594
1503960366,2016-05-09,1819,338
1503960366,2016-05-10,1859,383
1503960366,2016-05-11,1783,285
1644430081,2016-04-29,2498,119
1644430081,2016-04-30,3846,124
1644430081,2016-05-02,2580,796
1644430081,2016-05-08,2987,137
1844505072,2016-04-15,1725,644
1844505072,2016-04-30,1763,722
1844505072,2016-05-01,1541,590
1927972279,2016-04-12,2220,750
1927972279,2016-04-13,2151,398
1927972279,2016-04-15,2221,475
1927972279,2016-04-26,2638,296
1927972279,2016-04-28,2351,166
2026352035,2016-04-12,1459,503
2026352035,2016-04-13,1521,531
2026352035,2016-04-14,1431,545
2026352035,2016-04-15,1444,523
2026352035,2016-04-16,1373,524
2026352035,2016-04-17,1214,437
2026352035,2016-04-19,1356,498
2026352035,2016-04-20,1667,461
2026352035,2016-04-21,1370,477
2026352035,2016-04-22,1399,520
2026352035,2016-04-23,1916,522
2026352035,2016-04-24,1401,555
2026352035,2016-04-25,1576,506
2026352035,2016-04-27,1593,508
2026352035,2016-04-28,1649,513
2026352035,2016-04-29,1692,490
2026352035,2016-04-30,1506,573
2026352035,2016-05-01,1447,527
2026352035,2016-05-02,1690,511
2026352035,2016-05-04,1658,538
2026352035,2016-05-05,1926,468
2026352035,2016-05-06,1736,524
2026352035,2016-05-07,1491,511
2026352035,2016-05-08,1555,541
2026352035,2016-05-09,1869,531
2026352035,2016-05-10,1141,357
2026352035,2016-05-11,1698,523
2026352035,2016-05-12,1364,456
2320127002,2016-04-23,1804,61
2347167796,2016-04-13,2038,467
2347167796,2016-04-14,2010,445
2347167796,2016-04-15,2133,452
2347167796,2016-04-17,1882,556
2347167796,2016-04-18,1944,500
2347167796,2016-04-19,2346,465
2347167796,2016-04-21,2048,460
2347167796,2016-04-22,1946,405
2347167796,2016-04-23,2629,374
2347167796,2016-04-24,2187,442
2347167796,2016-04-25,2095,433
2347167796,2016-04-26,1861,436
2347167796,2016-04-27,2194,448
2347167796,2016-04-28,1854,408
2347167796,2016-04-29,403,411
3977333714,2016-04-12,1450,274
3977333714,2016-04-13,1495,295
3977333714,2016-04-14,1433,291
3977333714,2016-04-15,1468,424
3977333714,2016-04-16,1625,283
3977333714,2016-04-17,1529,381
3977333714,2016-04-18,1584,412
3977333714,2016-04-19,1638,219
3977333714,2016-04-20,1554,152
3977333714,2016-04-21,1397,332
3977333714,2016-04-22,1481,355
3977333714,2016-04-23,1638,235
3977333714,2016-04-24,1655,310
3977333714,2016-04-25,1570,262
3977333714,2016-04-26,1551,250
3977333714,2016-04-27,1377,349
3977333714,2016-04-28,1407,261
3977333714,2016-04-29,1545,333
3977333714,2016-04-30,1650,237
3977333714,2016-05-01,1501,383
3977333714,2016-05-02,1760,230
3977333714,2016-05-03,1710,292
3977333714,2016-05-04,1628,213
