Id,Date,Hour,StepTotal,Calories
1503960366,2016-04-12,0,373,81
1503960366,2016-04-12,1,160,61
1503960366,2016-04-12,2,151,59
1503960366,2016-04-12,3,0,47
1503960366,2016-04-12,4,0,48
1503960366,2016-04-12,5,0,48
1503960366,2016-04-12,6,0,48
1503960366,2016-04-12,7,0,47
1503960366,2016-04-12,8,250,68
1503960366,2016-04-12,9,1864,141
1503960366,2016-04-12,10,676,99
1503960366,2016-04-12,11,360,76
1503960366,2016-04-12,12,253,73
1503960366,2016-04-12,13,221,66
1503960366,2016-04-12,14,1166,110
1503960366,2016-04-12,15,2063,151
1503960366,2016-04-12,16,344,76
1503960366,2016-04-12,17,489,83
1503960366,2016-04-12,18,1386,124
1503960366,2016-04-12,19,558,104
1503960366,2016-04-12,20,1733,132
1503960366,2016-04-12,21,684,100
1503960366,2016-04-12,22,89,65
1503960366,2016-04-12,23,338,81
1503960366,2016-04-13,0,144,69
1503960366,2016-04-13,1,0,48
1503960366,2016-04-13,2,0,47
1503960366,2016-04-13,3,36,53
1503960366,2016-04-13,4,0,47
1503960366,2016-04-13,5,0,47
1503960366,2016-04-13,6,0,48
1503960366,2016-04-13,7,126,59
1503960366,2016-04-13,8,275,69
1503960366,2016-04-13,9,1679,136
1503960366,2016-04-13,10,295,77
1503960366,2016-04-13,11,524,84
1503960366,2016-04-13,12,486,82
1503960366,2016-04-13,13,302,72
1503960366,2016-04-13,14,1577,128
1503960366,2016-04-13,15,493,79
1503960366,2016-04-13,16,299,71
1503960366,2016-04-13,17,695,87
1503960366,2016-04-13,18,1343,118
1503960366,2016-04-13,19,258,73
1503960366,2016-04-13,20,0,47
1503960366,2016-04-13,21,0,48
1503960366,2016-04-13,22,437,74
1503960366,2016-04-13,23,1766,135
1503960366,2016-04-14,0,81,56
1503960366,2016-04-14,1,58,54
1503960366,2016-04-14,2,0,47
1503960366,2016-04-14,3,0,47
1503960366,2016-04-14,4,0,47
1503960366,2016-04-14,5,0,47
1503960366,2016-04-14,6,0,47
1503960366,2016-04-14,7,0,47
1503960366,2016-04-14,8,0,47
1503960366,2016-04-14,9,902,93
1503960366,2016-04-14,10,1106,109
1503960366,2016-04-14,11,50,64
1503960366,2016-04-14,12,501,85
1503960366,2016-04-14,13,1779,137
1503960366,2016-04-14,14,1228,113
1503960366,2016-04-14,15,139,66
1503960366,2016-04-14,16,408,88
1503960366,2016-04-14,17,37,61
1503960366,2016-04-14,18,322,72
1503960366,2016-04-14,19,11,55
1503960366,2016-04-14,20,806,91
1503960366,2016-04-14,21,2670,174
1503960366,2016-04-14,22,362,79
1503960366,2016-04-14,23,0,50
1503960366,2016-04-15,0,83,60
1503960366,2016-04-15,1,75,58
1503960366,2016-04-15,2,124,59
1503960366,2016-04-15,3,0,47
1503960366,2016-04-15,4,0,47
1503960366,2016-04-15,5,26,49
1503960366,2016-04-15,6,0,47
1503960366,2016-04-15,7,7,49
1503960366,2016-04-15,8,55,54
1503960366,2016-04-15,9,21,50
1503960366,2016-04-15,10,154,63
1503960366,2016-04-15,11,425,84
1503960366,2016-04-15,12,270,74
1503960366,2016-04-15,13,373,67
1503960366,2016-04-15,14,0,47
1503960366,2016-04-15,15,0,47
1503960366,2016-04-15,16,0,47
1503960366,2016-04-15,17,1774,140
1503960366,2016-04-15,18,509,87
1503960366,2016-04-15,19,519,97
1503960366,2016-04-15,20,77,64
1503960366,2016-04-15,21,280,75
1503960366,2016-04-15,22,2145,151
1503960366,2016-04-15,23,2768,182
1503960366,2016-04-16,0,459,77
1503960366,2016-04-16,1,0,48
1503960366,2016-04-16,2,63,52
1503960366,2016-04-16,3,6,48
1503960366,2016-04-16,4,6,49
1503960366,2016-04-16,5,12,49
1503960366,2016-04-16,6,0,48
1503960366,2016-04-16,7,101,54
1503960366,2016-04-16,8,175,62
1503960366,2016-04-16,9,1181,124
1503960366,2016-04-16,10,1295,110
1503960366,2016-04-16,11,2043,147
1503960366,2016-04-16,12,1513,119
1503960366,2016-04-16,13,3616,214
1503960366,2016-04-16,14,580,82
1503960366,2016-04-16,15,0,51
1503960366,2016-04-16,16,15,54
1503960366,2016-04-16,17,380,79
1503960366,2016-04-16,18,96,65
1503960366,2016-04-16,19,146,67
1503960366,2016-04-16,20,385,81
1503960366,2016-04-16,21,463,75
1503960366,2016-04-16,22,42,55
1503960366,2016-04-16,23,92,56
1503960366,2016-04-17,0,0,47
1503960366,2016-04-17,1,0,48
1503960366,2016-04-17,2,0,47
1503960366,2016-04-17,3,8,49
1503960366,2016-04-17,4,0,48
1503960366,2016-04-17,5,0,48
1503960366,2016-04-17,6,0,48
1503960366,2016-04-17,7,0,48
1503960366,2016-04-17,8,0,48
1503960366,2016-04-17,9,0,48
1503960366,2016-04-17,10,0,47
1503960366,2016-04-17,11,84,63
1503960366,2016-04-17,12,260,76
1503960366,2016-04-17,13,402,83
1503960366,2016-04-17,14,252,69
1503960366,2016-04-17,15,191,73
1503960366,2016-04-17,16,13,57
1503960366,2016-04-17,17,2613,174
1503960366,2016-04-17,18,1616,136
1503960366,2016-04-17,19,754,95
1503960366,2016-04-17,20,2955,191
1503960366,2016-04-17,21,487,79
1503960366,2016-04-17,22,70,58
1503960366,2016-04-17,23,0,50
1503960366,2016-04-18,0,416,82
1503960366,2016-04-18,1,0,48
1503960366,2016-04-18,2,0,47
1503960366,2016-04-18,3,0,47
1503960366,2016-04-18,4,0,47
1503960366,2016-04-18,5,0,47
1503960366,2016-04-18,6,0,47
1503960366,2016-04-18,7,0,47
1503960366,2016-04-18,8,0,47
1503960366,2016-04-18,9,1688,133
1503960366,2016-04-18,10,380,81
1503960366,2016-04-18,11,328,73
1503960366,2016-04-18,12,1306,118
1503960366,2016-04-18,13,268,70
1503960366,2016-04-18,14,137,64
1503960366,2016-04-18,15,495,80
1503960366,2016-04-18,16,277,78
1503960366,2016-04-18,17,304,79
1503960366,2016-04-18,18,4074,234
1503960366,2016-04-18,19,2101,157
1503960366,2016-04-18,20,28,57
1503960366,2016-04-18,21,187,68
1503960366,2016-04-18,22,542,86
1503960366,2016-04-18,23,488,83
1503960366,2016-04-19,0,0,47
1503960366,2016-04-19,1,22,49
1503960366,2016-04-19,2,0,47
1503960366,2016-04-19,3,9,50
1503960366,2016-04-19,4,0,47
1503960366,2016-04-19,5,0,47
1503960366,2016-04-19,6,7,49
1503960366,2016-04-19,7,316,75
1503960366,2016-04-19,8,1656,130
1503960366,2016-04-19,9,367,79
1503960366,2016-04-19,10,203,75
1503960366,2016-04-19,11,194,72
1503960366,2016-04-19,12,1887,143
1503960366,2016-04-19,13,2697,171
1503960366,2016-04-19,14,409,76
1503960366,2016-04-19,15,299,72
1503960366,2016-04-19,16,297,71
1503960366,2016-04-19,17,732,90
1503960366,2016-04-19,18,1280,120
1503960366,2016-04-19,19,397,93
1503960366,2016-04-19,20,2487,159
1503960366,2016-04-19,21,826,94
1503960366,2016-04-19,22,52,58
1503960366,2016-04-19,23,1369,120
1503960366,2016-04-20,0,16,54
1503960366,2016-04-20,1,36,53
1503960366,2016-04-20,2,0,47
1503960366,2016-04-20,3,0,48
1503960366,2016-04-20,4,0,48
1503960366,2016-04-20,5,0,47
1503960366,2016-04-20,6,0,48
1503960366,2016-04-20,7,29,51
1503960366,2016-04-20,8,264,70
1503960366,2016-04-20,9,1993,144
1503960366,2016-04-20,10,459,79
1503960366,2016-04-20,11,65,58
1503960366,2016-04-20,12,185,64
1503960366,2016-04-20,13,64,61
1503960366,2016-04-20,14,1270,113
1503960366,2016-04-20,15,797,97
1503960366,2016-04-20,16,261,70
1503960366,2016-04-20,17,13,57
1503960366,2016-04-20,18,1308,114
1503960366,2016-04-20,19,1558,117
1503960366,2016-04-20,20,499,80
1503960366,2016-04-20,21,395,83
1503960366,2016-04-20,22,77,62
1503960366,2016-04-20,23,1255,120
1503960366,2016-04-21,0,17,54
1503960366,2016-04-21,1,129,61
1503960366,2016-04-21,2,81,55
1503960366,2016-04-21,3,0,48
1503960366,2016-04-21,4,0,47
1503960366,2016-04-21,5,0,47
1503960366,2016-04-21,6,0,48
1503960366,2016-04-21,7,38,52
1503960366,2016-04-21,8,245,71
1503960366,2016-04-21,9,1672,133
1503960366,2016-04-21,10,255,77
1503960366,2016-04-21,11,0,55
1503960366,2016-04-21,12,384,73
1503960366,2016-04-21,13,1140,113
1503960366,2016-04-21,14,12,58
1503960366,2016-04-21,15,213,68
1503960366,2016-04-21,16,26,60
1503960366,2016-04-21,17,96,60
1503960366,2016-04-21,18,213,69
1503960366,2016-04-21,19,100,64
1503960366,2016-04-21,20,3541,213
1503960366,2016-04-21,21,970,104
1503960366,2016-04-21,22,89,63
1503960366,2016-04-21,23,598,84
1503960366,2016-04-22,0,0,47
1503960366,2016-04-22,1,0,47
1503960366,2016-04-22,2,0,47
1503960366,2016-04-22,3,0,47
1503960366,2016-04-22,4,0,47
1503960366,2016-04-22,5,0,47
1503960366,2016-04-22,6,0,47
1503960366,2016-04-22,7,0,47
1503960366,2016-04-22,8,0,47
1503960366,2016-04-22,9,192,65
1503960366,2016-04-22,10,29,54
1503960366,2016-04-22,11,958,102
1503960366,2016-04-22,12,38,57
1503960366,2016-04-22,13,118,60
1503960366,2016-04-22,14,0,54
1503960366,2016-04-22,15,180,66
1503960366,2016-04-22,16,22,58
1503960366,2016-04-22,17,1041,104
1503960366,2016-04-22,18,514,87
1503960366,2016-04-22,19,629,82
1503960366,2016-04-22,20,329,71
1503960366,2016-04-22,21,5934,311
1503960366,2016-04-22,22,855,95
1503960366,2016-04-22,23,1925,136
1503960366,2016-04-23,0,182,63
1503960366,2016-04-23,1,0,47
1503960366,2016-04-23,2,11,49
1503960366,2016-04-23,3,0,47
1503960366,2016-04-23,4,0,47
1503960366,2016-04-23,5,0,48
1503960366,2016-04-23,6,12,50
1503960366,2016-04-23,7,0,48
1503960366,2016-04-23,8,127,59
1503960366,2016-04-23,9,285,75
1503960366,2016-04-23,10,49,56
1503960366,2016-04-23,11,703,84
1503960366,2016-04-23,12,1597,129
1503960366,2016-04-23,13,1453,129
1503960366,2016-04-23,14,202,78
1503960366,2016-04-23,15,158,73
1503960366,2016-04-23,16,2008,140
1503960366,2016-04-23,17,1472,121
1503960366,2016-04-23,18,2569,173
1503960366,2016-04-23,19,29,51
1503960366,2016-04-23,20,142,63
1503960366,2016-04-23,21,2432,162
1503960366,2016-04-23,22,709,96
1503960366,2016-04-23,23,231,60
1503960366,2016-04-24,0,141,66
1503960366,2016-04-24,1,42,54
1503960366,2016-04-24,2,0,48
1503960366,2016-04-24,3,0,48
1503960366,2016-04-24,4,8,49
1503960366,2016-04-24,5,0,48
1503960366,2016-04-24,6,7,49
1503960366,2016-04-24,7,0,47
1503960366,2016-04-24,8,8,49
1503960366,2016-04-24,9,76,59
1503960366,2016-04-24,10,492,90
1503960366,2016-04-24,11,149,67
1503960366,2016-04-24,12,548,82
1503960366,2016-04-24,13,394,74
1503960366,2016-04-24,14,26,52
1503960366,2016-04-24,15,27,52
1503960366,2016-04-24,16,885,102
1503960366,2016-04-24,17,411,86
1503960366,2016-04-24,18,911,115
1503960366,2016-04-24,19,4871,270
1503960366,2016-04-24,20,342,76
1503960366,2016-04-24,21,244,74
1503960366,2016-04-24,22,66,61
1503960366,2016-04-24,23,391,72
1503960366,2016-04-25,0,95,62
1503960366,2016-04-25,1,22,53
1503960366,2016-04-25,2,97,57
1503960366,2016-04-25,3,0,47
1503960366,2016-04-25,4,25,50
1503960366,2016-04-25,5,4,49
1503960366,2016-04-25,6,0,47
1503960366,2016-04-25,7,44,52
1503960366,2016-04-25,8,426,83
1503960366,2016-04-25,9,2041,146
1503960366,2016-04-25,10,258,73
1503960366,2016-04-25,11,1468,121
1503960366,2016-04-25,12,707,92
1503960366,2016-04-25,13,299,75
1503960366,2016-04-25,14,94,62
1503960366,2016-04-25,15,359,76
1503960366,2016-04-25,16,263,71
1503960366,2016-04-25,17,188,67
1503960366,2016-04-25,18,116,61
1503960366,2016-04-25,19,2815,182
1503960366,2016-04-25,20,895,95
1503960366,2016-04-25,21,4895,267
1503960366,2016-04-25,22,188,68
1503960366,2016-04-25,23,56,54
1503960366,2016-04-26,0,101,56
