Id,ActivityDate,SedentaryMinutes,TotalMinutesAsleep
1503960366,2016-04-12,728,327
1503960366,2016-04-13,776,384
1503960366,2016-04-15,726,412
1503960366,2016-04-16,773,340
1503960366,2016-04-17,539,700
1503960366,2016-04-19,775,304
1503960366,2016-04-20,818,360
1503960366,2016-04-21,838,325
1503960366,2016-04-23,732,361
1503960366,2016-04-24,709,430
1503960366,2016-04-25,814,277
1503960366,2016-04-26,833,245
1503960366,2016-04-28,782,366
1503960366,2016-04-29,815,341
1503960366,2016-04-30,712,404
1503960366,2016-05-01,730,369
1503960366,2016-05-02,798,277
1503960366,2016-05-03,816,273
1503960366,2016-05-05,857,247
1503960366,2016-05-06,754,334
1503960366,2016-05-07,833,331
1503960366,2016-05-08,574,594
1503960366,2016-05-09,835,338
1503960366,2016-05-10,746,383
1503960366,2016-05-11,669,285
1644430081,2016-04-29,1193,119
1644430081,2016-04-30,816,124
1644430081,2016-05-02,682,796
1644430081,2016-05-08,991,137
1844505072,2016-04-15,527,644
1844505072,2016-04-30,218,722
1844505072,2016-05-01,585,590
1927972279,2016-04-12,734,750
1927972279,2016-04-13,986,398
1927972279,2016-04-15,941,475
1927972279,2016-04-26,1058,296
1927972279,2016-04-28,1167,166
2026352035,2016-04-12,706,503
2026352035,2016-04-13,663,531
2026352035,2016-04-14,653,545
2026352035,2016-04-15,687,523
2026352035,2016-04-16,728,524
2026352035,2016-04-17,1053,437
2026352035,2016-04-19,785,498
2026352035,2016-04-20,623,461
2026352035,2016-04-21,749,477
2026352035,2016-04-22,712,520
2026352035,2016-04-23,458,522
2026352035,2016-04-24,704,555
2026352035,2016-04-25,821,506
2026352035,2016-04-27,586,508
2026352035,2016-04-28,626,513
2026352035,2016-04-29,492,490
2026352035,2016-04-30,594,573
2026352035,2016-05-01,716,527
2026352035,2016-05-02,716,511
2026352035,2016-05-04,530,538
2026352035,2016-05-05,479,468
2026352035,2016-05-06,511,524
2026352035,2016-05-07,665,511
2026352035,2016-05-08,610,541
2026352035,2016-05-09,543,531
2026352035,2016-05-10,1002,357
2026352035,2016-05-11,569,523
2026352035,2016-05-12,330,456
2320127002,2016-04-23,1129,61
2347167796,2016-04-13,676,467
2347167796,2016-04-14,705,445
2347167796,2016-04-15,720,452
2347167796,2016-04-17,508,556
2347167796,2016-04-18,678,500
2347167796,2016-04-19,648,465
2347167796,2016-04-21,761,460
2347167796,2016-04-22,781,405
2347167796,2016-04-23,591,374
2347167796,2016-04-24,584,442
2347167796,2016-04-25,653,433
2347167796,2016-04-26,732,436
2347167796,2016-04-27,623,448
2347167796,2016-04-28,764,408
2347167796,2016-04-29,2,411
3977333714,2016-04-12,777,274
3977333714,2016-04-13,754,295
3977333714,2016-04-14,801,291
3977333714,2016-04-15,644,424
3977333714,2016-04-16,663,283
3977333714,2016-04-17,600,381
3977333714,2016-04-18,605,412
3977333714,2016-04-19,738,219
3977333714,2016-04-20,845,152
3977333714,2016-04-21,712,332
3977333714,2016-04-22,731,355
3977333714,2016-04-23,724,235
3977333714,2016-04-24,660,310
3977333714,2016-04-25,781,262
3977333714,2016-04-26,797,250
3977333714,2016-04-27,714,349
3977333714,2016-04-28,804,261
3977333714,2016-04-29,744,333
3977333714,2016-04-30,687,237
3977333714,2016-05-01,691,383
